key,dialogue_id,turn_index,speaker_role,raw_target,target,slot_types,spoken_digit_tags,is_digit_focus
utt_000001,dlg_00001,1,pilot,7号1号叫,7号1号叫,,,1
utt_000002,dlg_00001,2,controller,5号声音好,5号声音好,,,1
utt_000003,dlg_00001,3,pilot,5号明白,5号明白,,,1
utt_000004,dlg_00001,4,controller,锦州回答4151声音好,锦州回答4151声音好,callsign,,1
utt_000005,dlg_00001,5,pilot,好的投资条件您稍等一下啊我这还没要到呢,好的投资条件您稍等一下啊我这还没要到呢,,,0
utt_000006,dlg_00001,6,pilot,1号3号叫,1号3号叫,,,1
utt_000007,dlg_00001,7,controller,2号声音好,2号声音好,,,1
utt_000008,dlg_00001,8,pilot,3号明白,3号明白,,,1
utt_000009,dlg_00001,9,controller,4151锦州1号,4151锦州1号,callsign,,1
utt_000010,dlg_00001,10,pilot,4151锦州1号叫,4151锦州1号叫,callsign,,1
utt_000011,dlg_00002,1,pilot,啊4151回答1号,啊4151回答1号,callsign,,1
utt_000012,dlg_00002,2,controller,这边场压733.9 733.9着陆方向由西向东由西向东本场基本静风0-2,这边场压733.9 733.9着陆方向由西向东由西向东本场基本静风0-2,callsign|qnh|wind,,1
utt_000013,dlg_00002,3,pilot,好的一会见了,好的一会见了,,,0
utt_000014,dlg_00002,4,controller,锦州回答4151声音好,锦州回答4151声音好,callsign,,1
utt_000015,dlg_00002,5,pilot,"啊现在海压2,800海下15",啊现在海压2800海下15,callsign,,1
utt_000016,dlg_00002,6,controller,啊军运说是你可以直接下降高度吗,啊军运说是你可以直接下降高度吗,height,,0
utt_000017,dlg_00002,7,controller,啊可以啊,啊可以啊,,,0
utt_000018,dlg_00002,8,controller,好的那你直接下场高15然后通场加入左三边高度可以继续下了,好的那你直接下场高15然后通场加入左三边高度可以继续下了,height,,1
utt_000019,dlg_00002,9,pilot,"好的下场高1,500",好的下场高1500,callsign|height,,1
utt_000020,dlg_00002,10,controller,通场加入左三边,通场加入左三边,,,0
utt_000021,dlg_00003,1,controller,啊如果高度来不及的话可以往前再飞上一分钟半分钟,啊如果高度来不及的话可以往前再飞上一分钟半分钟,height,,0
utt_000022,dlg_00003,2,controller,好的明白了好另外呃落地可以联系对吧,好的明白了好另外呃落地可以联系对吧,,,0
utt_000023,dlg_00003,3,controller,对的落地可以联系,对的落地可以联系,,,0
utt_000024,dlg_00003,4,controller,落地以后起飞以后直接联系民航进近频率119119.6就可以了,落地以后起飞以后直接联系民航进近频率119119.6就可以了,callsign|frequency,,1
utt_000025,dlg_00003,5,controller,好的起飞以后联系1196对吧,好的起飞以后联系1196对吧,callsign,,1
utt_000026,dlg_00003,6,controller,好的4151你三边报一下,好的4151你三边报一下,callsign,,1
utt_000027,dlg_00003,7,pilot,啊在我三边报4151,啊在我三边报4151,callsign,,1
utt_000028,dlg_00003,8,controller,好的继续下降高度,好的继续下降高度,height,,0
utt_000029,dlg_00003,9,controller,好4151继续下降高度了三转弯报一下,好4151继续下降高度了三转弯报一下,callsign|height,,1
utt_000030,dlg_00003,10,pilot,好三转弯报,好三转弯报,,,0
utt_000031,dlg_00004,1,pilot,4151三转弯,4151三转弯,callsign,,1
utt_000032,dlg_00004,2,controller,3号5号开机工作,3号5号开机工作,,,1
utt_000033,dlg_00004,3,pilot,现在我要这个,现在我要这个,,,0
utt_000034,dlg_00004,4,controller,现在地面230多风3米,现在地面230多风3米,callsign|wind,,1
utt_000035,dlg_00004,5,pilot,12公里偏左100米,12公里偏左100米,callsign|height|weather,,1
utt_000036,dlg_00004,6,controller,350 8公里1号,350 8公里1号,callsign|weather,,1
utt_000037,dlg_00004,7,pilot,速度320 7公里1号,速度320 7公里1号,callsign|weather,,1
utt_000038,dlg_00004,8,controller,速度300 6公里1号,速度300 6公里1号,callsign|weather,,1
utt_000039,dlg_00004,9,pilot,速度260 5公里1号,速度260 5公里1号,callsign|weather,,1
utt_000040,dlg_00004,10,controller,可以落地落地可以联系,可以落地落地可以联系,,,0
utt_000041,dlg_00005,1,pilot,明白,明白,,,0
utt_000042,dlg_00005,2,controller,速度160 3公里1号,速度160 3公里1号,callsign|weather,,1
utt_000043,dlg_00005,3,pilot,速度100 两公里1号,速度100 两公里1号,callsign|weather,,1
utt_000044,dlg_00005,4,controller,可以起飞,可以起飞,,,0
utt_000045,dlg_00005,5,controller,啊联系119.6啊,啊联系119.6啊,callsign|frequency,,1
utt_000046,dlg_00005,6,controller,对的 上场高700 联系1196,对的 上场高700 联系1196,callsign|height,,1
utt_000047,dlg_00005,7,pilot,好的明白,好的明白,,,0
utt_000048,dlg_00005,8,controller,好的一会见你预计一会什么时候过来啊,好的一会见你预计一会什么时候过来啊,,,0
utt_000049,dlg_00005,9,pilot,啊可能得呃一个半小时吧,啊可能得呃一个半小时吧,,,0
utt_000050,dlg_00005,10,controller,好的本场场压,好的本场场压,qnh,,0
utt_000051,dlg_00006,1,pilot,733.2733.2温度5度温度5度,733.2733.2温度5度温度5度,callsign|qnh,,1
utt_000052,dlg_00006,2,controller,呃50度风3-5米,呃50度风3-5米,wind,,1
utt_000053,dlg_00006,3,pilot,地面能见度大于两公里,地面能见度大于两公里,weather,,0
utt_000054,dlg_00006,4,controller,完毕,完毕,,,0
utt_000055,dlg_00006,5,pilot,733.2进跑道,733.2进跑道,callsign|qnh|runway,,1
utt_000056,dlg_00006,6,controller,这个5度,这个5度,,,1
utt_000057,dlg_00006,7,pilot,50度风,50度风,wind,,1
utt_000058,dlg_00006,8,controller,3-5米着陆方向由西向东,3-5米着陆方向由西向东,,,1
utt_000059,dlg_00006,9,pilot,好的着陆方向由西向东我落地以后不用加油你给我来个停车,好的着陆方向由西向东我落地以后不用加油你给我来个停车,,,0
utt_000060,dlg_00006,10,controller,啊下站联系1900,啊下站联系1900,callsign|frequency,,1
utt_000061,dlg_00007,1,pilot,好嘞一会见,好嘞一会见,,,0
utt_000062,dlg_00007,2,controller,好的你现在可以继续下到场高12,好的你现在可以继续下到场高12,height,,1
utt_000063,dlg_00007,3,pilot,好嘞我场高12,好嘞我场高12,height,,1
utt_000064,dlg_00007,4,controller,17,17,,,1
utt_000065,dlg_00007,5,pilot,呃你现在能见地面吗,呃你现在能见地面吗,,,0
utt_000066,dlg_00007,6,controller,呃不太能见,呃不太能见,,,0
utt_000067,dlg_00007,7,pilot,好的那你一会回南以后左转给我三遍导航台吧加我三遍,好的那你一会回南以后左转给我三遍导航台吧加我三遍,,,0
utt_000068,dlg_00007,8,controller,呃好的,呃好的,,,0
utt_000069,dlg_00007,9,pilot,对的渭南以后左转,对的渭南以后左转,,,0
utt_000070,dlg_00007,10,controller,回答,回答,,,0
utt_000071,dlg_00008,1,pilot,啊你现在高度,啊你现在高度,height,,0
utt_000072,dlg_00008,2,controller,"高度2,100渭南继续下降",高度2100渭南继续下降,callsign|height,,1
utt_000073,dlg_00008,3,controller,可以你下到场高700本场以东11公里下到场高700,可以你下到场高700本场以东11公里下到场高700,callsign|height|weather,,1
utt_000074,dlg_00008,4,pilot,好的,好的,,,0
utt_000075,dlg_00008,5,controller,我直接给你安排导航台,我直接给你安排导航台,,,0
utt_000076,dlg_00008,6,controller,呃可以吗,呃可以吗,,,0
utt_000077,dlg_00008,7,controller,可以呃下700后面正常做,可以呃下700后面正常做,callsign,,1
utt_000078,dlg_00008,8,pilot,好的,好的,,,0
utt_000079,dlg_00008,9,controller,呃本场没有活动,呃本场没有活动,,,0
utt_000080,dlg_00008,10,pilot,呃本场就云比较低你到时候看一下,呃本场就云比较低你到时候看一下,weather,,0
utt_000081,dlg_00009,1,pilot,云底高有个200两吧,云底高有个200两吧,callsign|weather,,1
utt_000082,dlg_00009,2,controller,好的,好的,,,0
utt_000083,dlg_00009,3,pilot,呃导航牌引导灯都开了吧,呃导航牌引导灯都开了吧,,,0
utt_000084,dlg_00009,4,controller,呃导航牌房间都工作好了你再检查一下,呃导航牌房间都工作好了你再检查一下,,,0
utt_000085,dlg_00009,5,pilot,这边有降水吗,这边有降水吗,,,0
utt_000086,dlg_00009,6,controller,对的本场目前有降水你也可以观察,对的本场目前有降水你也可以观察,,,0
utt_000087,dlg_00009,7,pilot,3号5号明白,3号5号明白,,,1
utt_000088,dlg_00009,8,controller,呃检查一下你的着陆灯,呃检查一下你的着陆灯,,,0
utt_000089,dlg_00009,9,pilot,好的我要放到那个什么没开呢好吧,好的我要放到那个什么没开呢好吧,,,0
utt_000090,dlg_00009,10,controller,好的看到你了检查好可以落地,好的看到你了检查好可以落地,,,0
utt_000091,dlg_00010,1,controller,东边2号道口退出退出注意观察,东边2号道口退出退出注意观察,,,1
